ID	LABEL	PARENT_ID	BREADCRUMB_ARRAY
1	Factual Places		["Factual Places"]
2	Automotive	1	["Automotive"]
3	Car Appraisers	2	["Automotive","Car Appraisers"]
4	Car Dealers and Leasing	2	["Automotive","Car Dealers and Leasing"]
5	Used Cars	4	["Automotive","Car Dealers and Leasing","Used Cars"]
6	Car Parts and Accessories	2	["Automotive","Car Parts and Accessories"]
7	Car Wash and Detail	2	["Automotive","Car Wash and Detail"]
8	Classic and Antique Car	2	["Automotive","Classic and Antique Car"]
9	Maintenance and Repair	2	["Automotive","Maintenance and Repair"]
10	Oil and Lube	9	["Automotive","Maintenance and Repair","Oil and Lube"]
11	Smog Check	9	["Automotive","Maintenance and Repair","Smog Check"]
12	Tires	9	["Automotive","Maintenance and Repair","Tires"]
13	Transmissions	9	["Automotive","Maintenance and Repair","Transmissions"]
14	Motorcycles, Mopeds and Scooters	2	["Automotive","Motorcycles, Mopeds and Scooters"]
15	Repair	14	["Automotive","Motorcycles, Mopeds and Scooters","Repair"]
16	Sales	14	["Automotive","Motorcycles, Mopeds and Scooters","Sales"]
17	RVs and Motor Homes	2	["Automotive","RVs and Motor Homes"]
18	Salvage Yards	2	["Automotive","Salvage Yards"]
19	Towing	2	["Automotive","Towing"]
20	Community and Government	1	["Community and Government"]
21	Animal Shelters and Humane Societies	20	["Community and Government","Animal Shelters and Humane Societies"]
22	Cemeteries	20	["Community and Government","Cemeteries"]
23	Day Care and Preschools	20	["Community and Government","Day Care and Preschools"]
24	Disabled Persons Services	20	["Community and Government","Disabled Persons Services"]
25	Drug and Alcohol Services	20	["Community and Government","Drug and Alcohol Services"]
26	Education	20	["Community and Government","Education"]
27	Adult Education	26	["Community and Government","Education","Adult Education"]
28	Art Lessons and Schools	26	["Community and Government","Education","Art Lessons and Schools"]
29	Colleges and Universities	26	["Community and Government","Education","Colleges and Universities"]
30	Computer Training	26	["Community and Government","Education","Computer Training"]
31	Culinary Lessons and Schools	26	["Community and Government","Education","Culinary Lessons and Schools"]
32	Driving Schools	26	["Community and Government","Education","Driving Schools"]
33	Fraternities and Sororities	26	["Community and Government","Education","Fraternities and Sororities"]
34	Primary and Secondary Schools	26	["Community and Government","Education","Primary and Secondary Schools"]
35	Tutoring and Educational Services	26	["Community and Government","Education","Tutoring and Educational Services"]
36	Vocational Schools	26	["Community and Government","Education","Vocational Schools"]
37	Government Departments and Agencies	20	["Community and Government","Government Departments and Agencies"]
38	Government Lobbyists	20	["Community and Government","Government Lobbyists"]
39	Housing Assistance and Shelters	20	["Community and Government","Housing Assistance and Shelters"]
40	Law Enforcement and Public Safety	20	["Community and Government","Law Enforcement and Public Safety"]
41	Rescue Services	40	["Community and Government","Law Enforcement and Public Safety","Rescue Services"]
42	Fire Stations	40	["Community and Government","Law Enforcement and Public Safety","Fire Stations"]
43	Police Stations	40	["Community and Government","Law Enforcement and Public Safety","Police Stations"]
44	Libraries	20	["Community and Government","Libraries"]
45	Military	20	["Community and Government","Military"]
46	Bases	45	["Community and Government","Military","Bases"]
47	Organizations and Associations	20	["Community and Government","Organizations and Associations"]
48	Charities and Non-Profits	47	["Community and Government","Organizations and Associations","Charities and Non-Profits"]
49	Environmental	47	["Community and Government","Organizations and Associations","Environmental"]
50	Youth Organizations	47	["Community and Government","Organizations and Associations","Youth Organizations"]
51	Post Offices	20	["Community and Government","Post Offices"]
52	Public and Social Services	20	["Community and Government","Public and Social Services"]
53	Religious	20	["Community and Government","Religious"]
54	Buddhist Temples	53	["Community and Government","Religious","Buddhist Temples"]
55	Churches	53	["Community and Government","Religious","Churches"]
56	Hindu Temples	53	["Community and Government","Religious","Hindu Temples"]
57	Mosques	53	["Community and Government","Religious","Mosques"]
58	Synagogues	53	["Community and Government","Religious","Synagogues"]
59	Senior Citizen Services	20	["Community and Government","Senior Citizen Services"]
60	Retirement	59	["Community and Government","Senior Citizen Services","Retirement"]
61	Utility Companies	20	["Community and Government","Utility Companies"]
62	Healthcare	1	["Healthcare"]
63	AIDS Resources	62	["Healthcare","AIDS Resources"]
64	Assisted Living Services	62	["Healthcare","Assisted Living Services"]
65	Caretakers	64	["Healthcare","Assisted Living Services","Caretakers"]
66	Facilities and Nursing Homes	64	["Healthcare","Assisted Living Services","Facilities and Nursing Homes"]
67	Blood Banks and Centers	62	["Healthcare","Blood Banks and Centers"]
68	Chiropractors	62	["Healthcare","Chiropractors"]
69	Dentists	62	["Healthcare","Dentists"]
70	Emergency Services	62	["Healthcare","Emergency Services"]
71	Ambulance	70	["Healthcare","Emergency Services","Ambulance"]
72	Holistic, Alternative and Naturopathic Medicine	62	["Healthcare","Holistic, Alternative and Naturopathic Medicine"]
73	Acupuncture	72	["Healthcare","Holistic, Alternative and Naturopathic Medicine","Acupuncture"]
74	Hospitals, Clinics and Medical Centers	62	["Healthcare","Hospitals, Clinics and Medical Centers"]
75	Medical Supplies and Labs	62	["Healthcare","Medical Supplies and Labs"]
76	Mental Health	62	["Healthcare","Mental Health"]
77	Counseling and Therapy	76	["Healthcare","Mental Health","Counseling and Therapy"]
78	Psychologists	76	["Healthcare","Mental Health","Psychologists"]
79	Nurses	62	["Healthcare","Nurses"]
80	Pharmacies	62	["Healthcare","Pharmacies"]
81	Physical Therapy and Rehabilitation	62	["Healthcare","Physical Therapy and Rehabilitation"]
82	Sports Medicine	81	["Healthcare","Physical Therapy and Rehabilitation","Sports Medicine"]
83	Physicians	62	["Healthcare","Physicians"]
84	Anesthesiologists	83	["Healthcare","Physicians","Anesthesiologists"]
85	Cardiologists	83	["Healthcare","Physicians","Cardiologists"]
86	Dermatologists	83	["Healthcare","Physicians","Dermatologists"]
87	Ear, Nose and Throat	83	["Healthcare","Physicians","Ear, Nose and Throat"]
88	Family Medicine	83	["Healthcare","Physicians","Family Medicine"]
89	Gastroenterologists	83	["Healthcare","Physicians","Gastroenterologists"]
90	General Surgery	83	["Healthcare","Physicians","General Surgery"]
91	Internal Medicine	83	["Healthcare","Physicians","Internal Medicine"]
92	Neurologists	83	["Healthcare","Physicians","Neurologists"]
93	Obstetricians and Gynecologists	83	["Healthcare","Physicians","Obstetricians and Gynecologists"]
94	Oncologists	83	["Healthcare","Physicians","Oncologists"]
95	Ophthalmologists	83	["Healthcare","Physicians","Ophthalmologists"]
96	Orthopedic Surgeons	83	["Healthcare","Physicians","Orthopedic Surgeons"]
97	Pathologists	83	["Healthcare","Physicians","Pathologists"]
98	Pediatricians	83	["Healthcare","Physicians","Pediatricians"]
99	Plastic Surgeons	83	["Healthcare","Physicians","Plastic Surgeons"]
100	Psychiatrists	83	["Healthcare","Physicians","Psychiatrists"]
101	Radiologists	83	["Healthcare","Physicians","Radiologists"]
102	Respiratory	83	["Healthcare","Physicians","Respiratory"]
103	Urologists	83	["Healthcare","Physicians","Urologists"]
104	Podiatrists	62	["Healthcare","Podiatrists"]
105	Pregnancy and Sexual Health	62	["Healthcare","Pregnancy and Sexual Health"]
106	Weight Loss and Nutritionists	62	["Healthcare","Weight Loss and Nutritionists"]
107	Landmarks	1	["Landmarks"]
