mcc_code	mcc_label	factual_category_id
0742	Veterinary Services	305
0763	Agricultural Co-operatives	204
0780	Horticultural Services, Landscaping Services	253
1520	General Contractors-residential And Commercial	239
1711	Air Conditioning Contractors – Sales And Installation, Heating Contractors – Sales, Service, Installation	239
1731	Electrical Contractors	239
1740	Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework And Masonry Contractors, Tile Settings Contractors	239
1750	Carpentry Contractors	239
1761	Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors	239
1771	Contractors – Concrete Work	239
1799	Contractors – Special Trade, Not Elsewhere Classified	239
2741	Miscellaneous Publishing And Printing	288
2791	Typesetting, Plate Making, & Related Services	288
2842	Specialty Cleaning, Polishing, And Sanitation Preparations	289
3000	United Airlines	416
3001	American Airlines	416
3002	Pan American	416
3003	Airlines	416
3004	Trans World Airlines	416
3005	British Airways	416
3006	Japan Airlines	416
3007	Air France	416
3008	Lufthansa	416
3009	Air Canada	416
3010	Klm (royal Dutch Airlines)	416
3011	Aeorflot	416
3012	Quantas	416
3013	Alitalia	416
3014	Saudia Arabian Airlines	416
3015	Swissair	416
3016	Sas	416
3017	South African Airways	416
3018	Varig (brazil)	416
3019	Airlines	416
3020	Air-india	416
3021	Air Algerie	416
3022	Philippine Airlines	416
3023	Mexicana	416
3024	Pakistan International	416
3025	Air New Zealand	416
3026	Airlines	416
3027	Uta/interair	416
3028	Air Malta	416
3029	Sabena	416
3030	Aerolineas Argentinas	416
3031	Olympic Airways	416
3032	El Al	416
3033	Ansett Airlines	416
3034	Austrainlian Airlines	416
3035	Tap (portugal)	416
3036	Vasp (brazil)	416
3037	Egyptair	416
3038	Kuwait Airlines	416
3039	Avianca	416
3040	Gulf Air (bahrain)	416
3041	Balkan-bulgarian Airlines	416
3042	Finnair	416
3043	Aer Lingus	416
3044	Air Lanka	416
3045	Nigeria Airways	416
3046	Cruzeiro Do Sul (brazij)	416
3047	Thy (turkey)	416
3048	Royal Air Maroc	416
3049	Tunis Air	416
3050	Icelandair	416
3051	Austrian Airlines	416
3052	Lanchile	416
3053	Aviaco (spain)	416
3054	Ladeco (chile)	416
3055	Lab (bolivia)	416
3056	Quebecaire	416
3057	Eastwest Airlines (australia)	416
3058	Delta	416
3059	Airlines	416
3060	Northwest	416
3061	Continental	416
