integrated_category_id	integrated_category_label	naics_code	sic_code
10000	Arts and Entertainment	71	
10001	Arts and Entertainment > Amusement Park	713110	7996
10002	Arts and Entertainment > Aquarium	712130	8422
10003	Arts and Entertainment > Arcade	713120	7993
10004	Arts and Entertainment > Art Gallery	453920	5999
10005	Arts and Entertainment > Bingo Center	713290	7993
10006	Arts and Entertainment > Bowling Alley	713950	7933
10007	Arts and Entertainment > Carnival	71	
10008	Arts and Entertainment > Casino	7132	
10009	Arts and Entertainment > Circus	711190	7929
10010	Arts and Entertainment > Comedy Club	71	
10011	Arts and Entertainment > Country Club	713910	7992
10012	Arts and Entertainment > Country Dance Club	711120	7922
10013	Arts and Entertainment > Dance Hall	711120	7922
10014	Arts and Entertainment > Disc Golf Course	713910	7992
10015	Arts and Entertainment > Escape Room	71	
10016	Arts and Entertainment > Exhibit	7121	
10017	Arts and Entertainment > Fair	71	
10018	Arts and Entertainment > Gaming Cafe	81	
10019	Arts and Entertainment > Go Kart Track	711212	7948
10020	Arts and Entertainment > Internet Cafe	561439	7334
10021	Arts and Entertainment > Karaoke Box	71	
10022	Arts and Entertainment > Laser Tag Center	7139	
10023	Arts and Entertainment > Mini Golf Course	7139	
10024	Arts and Entertainment > Movie Theater	512131	7832
10025	Arts and Entertainment > Movie Theater > Drive-in Theater	512132	7833
10026	Arts and Entertainment > Movie Theater > Indie Movie Theater	512131	7832
10027	Arts and Entertainment > Museum	712110	8412
10028	Arts and Entertainment > Museum > Art Museum	7121	
10029	Arts and Entertainment > Museum > Erotic Museum	7121	
10030	Arts and Entertainment > Museum > History Museum	7121	
10031	Arts and Entertainment > Museum > Science Museum	7121	
10032	Arts and Entertainment > Night Club	722410	5813
10033	Arts and Entertainment > Pachinko Parlor	713290	7993
10034	Arts and Entertainment > Party Center	71	
10035	Arts and Entertainment > Performing Arts Venue	71	
10036	Arts and Entertainment > Performing Arts Venue > Amphitheater	711110	5812
10037	Arts and Entertainment > Performing Arts Venue > Concert Hall	711110	5812
10038	Arts and Entertainment > Performing Arts Venue > Indie Theater	512131	7832
10039	Arts and Entertainment > Performing Arts Venue > Music Venue	71	
10040	Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue	71	
10041	Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club	71	
10042	Arts and Entertainment > Performing Arts Venue > Opera House	711110	5812
10043	Arts and Entertainment > Performing Arts Venue > Theater	711110	5812
10044	Arts and Entertainment > Planetarium	7121	
10045	Arts and Entertainment > Pool Hall	713990	7911
10046	Arts and Entertainment > Psychics and Astrologers	812990	4899
10047	Arts and Entertainment > Public Art	71	
10048	Arts and Entertainment > Roller Rink	713940	7991
10049	Arts and Entertainment > Salsa Club	71	
10050	Arts and Entertainment > Samba School	71	
10051	Arts and Entertainment > Stadium	7139	
10052	Arts and Entertainment > Strip Club	722410	5813
10053	Arts and Entertainment > Ticket Seller	71	
10054	Arts and Entertainment > VR Cafe	561439	7334
10055	Arts and Entertainment > Water Park	713110	7996
10056	Arts and Entertainment > Zoo	712130	8422
11000	Business and Professional Services	54	
11001	Business and Professional Services > Advertising Agency	541810	7311
11002	Business and Professional Services > Agriculture and Forestry Service	115310	851
11003	Business and Professional Services > Architecture Firm	541310	8712
11004	Business and Professional Services > Art Restoration Service	44	
11005	Business and Professional Services > Art Studio	71	
11006	Business and Professional Services > Audiovisual Service	44	
11007	Business and Professional Services > Auditorium	71	
11008	Business and Professional Services > Automation and Control System	44	
11009	Business and Professional Services > Automotive Service	332710	3599
11010	Business and Professional Services > Automotive Service > Automotive Repair Shop	332710	3599
11011	Business and Professional Services > Automotive Service > Car Wash and Detail	811192	7542
11012	Business and Professional Services > Automotive Service > Motorcycle Repair Shop	332710	3599
11013	Business and Professional Services > Automotive Service > Oil Change Service	332710	3599
11014	Business and Professional Services > Automotive Service > Smog Check Shop	332710	3599
11015	Business and Professional Services > Automotive Service > Tire Repair Shop	332710	3599
11016	Business and Professional Services > Automotive Service > Towing Service	332710	3599
